CLIENTE_NUMBER	FX_IDADE	CEP_GRUPO_RISCO	FX_RENDA	INDICADOR_RESTRITIVO	QTDE_CONSULTAS_CREDITO	RESPOSTA
344	(1) <=24	(5) altissimo	(4) De 2501 a 5000	0	0	0
345	(4) 40 a 45	(5) altissimo	(3) De 1500 a 2500	0	0	0
346	(1) <=24	(5) altissimo	(4) De 2501 a 5000	0	0	0
347	(5) >=46	(2) baixo	(6) >7000	0	2	0
348	sem informacao	(5) altissimo	(1) nao informado	0	0	1
349	sem informacao	(5) altissimo	(1) nao informado	0	0	0
350	(1) <=24	(5) altissimo	(4) De 2501 a 5000	0	0	0
351	(2) 25 a 34	(2) baixo	(3) De 1500 a 2500	0	0	0
352	sem informacao	(3) medio	(3) De 1500 a 2500	0	0	0
353	(1) <=24	(5) altissimo	(3) De 1500 a 2500	0	2	0
354	(1) <=24	(4) alto	(3) De 1500 a 2500	0	0	0
355	(3) 35 a 39	(2) baixo	(4) De 2501 a 5000	0	0	0
356	(2) 25 a 34	(3) medio	(4) De 2501 a 5000	0	3 ou mais	0
357	(2) 25 a 34	(3) medio	(4) De 2501 a 5000	0	3 ou mais	0
358	(5) >=46	(3) medio	(4) De 2501 a 5000	0	1	0
359	(5) >=46	(5) altissimo	(3) De 1500 a 2500	0	0	0
360	(2) 25 a 34	(5) altissimo	(2) <1500	0	0	0
361	(3) 35 a 39	(2) baixo	(5) 5001 a 7000	0	2	0
362	sem informacao	(5) altissimo	(1) nao informado	0	2	0
363	(1) <=24	(3) medio	(3) De 1500 a 2500	0	1	1
364	(4) 40 a 45	(2) baixo	(3) De 1500 a 2500	0	2	0
365	(2) 25 a 34	(4) alto	(5) 5001 a 7000	0	2	0
366	(2) 25 a 34	(3) medio	(4) De 2501 a 5000	0	1	0
367	(1) <=24	(5) altissimo	(3) De 1500 a 2500	0	0	0
368	(2) 25 a 34	(3) medio	(6) >7000	0	0	1
369	(4) 40 a 45	(5) altissimo	(3) De 1500 a 2500	0	0	0
370	(5) >=46	(5) altissimo	(4) De 2501 a 5000	0	1	0
371	(2) 25 a 34	(5) altissimo	(1) nao informado	0	1	0
372	(1) <=24	(2) baixo	(4) De 2501 a 5000	0	3 ou mais	0
373	sem informacao	(5) altissimo	(1) nao informado	0	0	0
374	(1) <=24	(4) alto	(3) De 1500 a 2500	0	0	0
375	(1) <=24	(3) medio	(3) De 1500 a 2500	0	0	1
376	(2) 25 a 34	(1) baissiximo	(5) 5001 a 7000	0	1	0
377	(2) 25 a 34	(5) altissimo	(3) De 1500 a 2500	0	1	0
378	(5) >=46	(3) medio	(5) 5001 a 7000	0	3 ou mais	0
